189.853;-0.828062;-1.25058
189.764;-0.828062;-1.25033
189.675;-0.828062;-1.25007
189.78;-0.824679;-1.25258
189.387;-0.824679;-1.25145
188.994;-0.824679;-1.25033
189.701;-0.821297;-1.25457
189.008;-0.821297;-1.25257
188.315;-0.821297;-1.25058
189.539;-0.81591;-1.25764
188.385;-0.81591;-1.25431
187.233;-0.81591;-1.25097
189.109;-0.800781;-1.26616
186.66;-0.800781;-1.25911
184.241;-0.800781;-1.25205
188.765;-0.785652;-1.27459
185.016;-0.785652;-1.26386
181.332;-0.785652;-1.25312
189.776;-0.693363;-1.32982
189.503;-0.693363;-1.32908
189.229;-0.693363;-1.32834
189.494;-0.680573;-1.33564
188.284;-0.680573;-1.33236
187.08;-0.680573;-1.32908
189.245;-0.667784;-1.3414
187.107;-0.667784;-1.33561
184.985;-0.667784;-1.32981
189.066;-0.65966;-1.34495
186.357;-0.65966;-1.33761
183.674;-0.65966;-1.33026
188.734;-0.644531;-1.35138
184.977;-0.644531;-1.34123
181.277;-0.644531;-1.33108
188.462;-0.629402;-1.35774
183.665;-0.629402;-1.34481
178.955;-0.629402;-1.33189
189.781;-0.764068;-1.29052
189.553;-0.764068;-1.28988
189.326;-0.764068;-1.28925
189.569;-0.754517;-1.29549
188.562;-0.754517;-1.29268
187.559;-0.754517;-1.28988
189.36;-0.744967;-1.30043
187.586;-0.744967;-1.29547
185.821;-0.744967;-1.29051
189.174;-0.737785;-1.30403
186.841;-0.737785;-1.2975
184.524;-0.737785;-1.29096
188.804;-0.722656;-1.31146
185.293;-0.722656;-1.30168
181.834;-0.722656;-1.29191
188.495;-0.707527;-1.31881
183.813;-0.707527;-1.30583
179.22;-0.707527;-1.29284
187.698;-0.764068;-1.28466
182.406;-0.764068;-1.26953
177.225;-0.764068;-1.2544
185.711;-0.754517;-1.28466
180.434;-0.754517;-1.26953
175.267;-0.754517;-1.2544
183.759;-0.744967;-1.28466
178.499;-0.744967;-1.26953
173.343;-0.744967;-1.2544
188.62;-0.779627;-1.27789
184.372;-0.779627;-1.26572
180.195;-0.779627;-1.25354
188.467;-0.774049;-1.28085
183.761;-0.774049;-1.26739
179.143;-0.774049;-1.25392
188.323;-0.76847;-1.2838
183.159;-0.76847;-1.26905
178.102;-0.76847;-1.25429
182.306;-0.737785;-1.28466
179.296;-0.722656;-1.28466
176.368;-0.707527;-1.28466
177.059;-0.737785;-1.26953
174.075;-0.722656;-1.26953
171.178;-0.707527;-1.26953
171.917;-0.737785;-1.2544
168.971;-0.722656;-1.2544
166.106;-0.707527;-1.2544
187.543;-0.693363;-1.32372
182.092;-0.693363;-1.30859
176.753;-0.693363;-1.29346
185.13;-0.680573;-1.32372
179.703;-0.680573;-1.30859
174.385;-0.680573;-1.29346
182.776;-0.667784;-1.32372
177.369;-0.667784;-1.30859
172.072;-0.667784;-1.29346
188.391;-0.702444;-1.32125
183.326;-0.702444;-1.3072
178.358;-0.702444;-1.29315
188.331;-0.700105;-1.32233
183.095;-0.700105;-1.30781
177.962;-0.700105;-1.29329
188.273;-0.697765;-1.32341
182.865;-0.697765;-1.30842
177.567;-0.697765;-1.29343
181.308;-0.65966;-1.32372
178.627;-0.644531;-1.32372
176.023;-0.629402;-1.32372
175.914;-0.65966;-1.30859
173.259;-0.644531;-1.30859
170.679;-0.629402;-1.30859
170.631;-0.65966;-1.29346
168.006;-0.644531;-1.29346
165.457;-0.629402;-1.29346
174.701;-0.698723;-1.28466
171.897;-0.683594;-1.28466
169.163;-0.668465;-1.28466
169.531;-0.698723;-1.26953
166.757;-0.683594;-1.26953
164.051;-0.668465;-1.26953
164.471;-0.698723;-1.2544
161.721;-0.683594;-1.2544
159.054;-0.668465;-1.2544
167.61;-0.65966;-1.28466
165.004;-0.644531;-1.28466
162.469;-0.629402;-1.28466
162.514;-0.65966;-1.26953
159.934;-0.644531;-1.26953
157.421;-0.629402;-1.26953
157.533;-0.65966;-1.2544
154.971;-0.644531;-1.2544
152.491;-0.629402;-1.2544
189.823;-0.520121;-1.40677
189.735;-0.520121;-1.40654
189.646;-0.520121;-1.40632
189.752;-0.514748;-1.40855
189.36;-0.514748;-1.40754
188.968;-0.514748;-1.40654
189.686;-0.509376;-1.41032
188.993;-0.509376;-1.40854
188.3;-0.509376;-1.40677
189.58;-0.50341;-1.41219
188.57;-0.50341;-1.4096
187.562;-0.50341;-1.407
189.313;-0.488281;-1.41683
187.515;-0.488281;-1.41221
185.728;-0.488281;-1.40759
189.109;-0.473152;-1.42143
186.522;-0.473152;-1.4148
183.959;-0.473152;-1.40818
189.84;-0.399826;-1.44561
189.788;-0.399826;-1.44548
189.736;-0.399826;-1.44535
189.804;-0.39581;-1.44661
189.575;-0.39581;-1.44605
189.347;-0.39581;-1.44548
189.771;-0.391794;-1.44762
189.367;-0.391794;-1.44661
188.963;-0.391794;-1.44561
188.979;-0.464348;-1.424
185.951;-0.464348;-1.41625
182.954;-0.464348;-1.4085
188.735;-0.449219;-1.42823
184.981;-0.449219;-1.41864
181.274;-0.449219;-1.40904
188.556;-0.43409;-1.43243
184.077;-0.43409;-1.421
179.666;-0.43409;-1.40958
187.968;-0.399826;-1.44091
182.026;-0.399826;-1.42578
176.213;-0.399826;-1.41065
187.529;-0.39581;-1.44091
181.591;-0.39581;-1.42578
175.782;-0.39581;-1.41065
187.095;-0.391794;-1.44091
181.162;-0.391794;-1.42578
175.356;-0.391794;-1.41065
188.457;-0.426454;-1.43447
183.626;-0.426454;-1.42215
178.876;-0.426454;-1.40983
188.277;-0.415341;-1.43729
